,B,Initial Mutant Population,ID,Sectors,,
,1,25,0,4,,
,1,25,1,,,
,1,25,2,,,
,1,25,3,,,
,1,25,4,,,
,1,25,5,,,
,1,25,6,,,
,1,25,7,,,
,1,25,8,,,
,1,25,9,,,
,1,50,0,5,,
,1,50,1,,,
,1,50,2,,,
,1,50,3,,,
,1,50,4,,,
,1,50,5,,,
,1,50,6,,,
,1,50,7,,,
,1,50,8,,,
,1,50,9,,,
,1,75,0,8,,
,1,75,1,,,
,1,75,2,,,
,1,75,3,,,
,1,75,4,,,
,1,75,5,,,
,1,75,6,,,
,1,75,7,,,
,1,75,8,,,
,1,75,9,,,
,1,100,0,4,,
,1,100,1,,,
,1,100,2,,,
,1,100,3,,,
,1,100,4,,,
,1,100,5,,,
,1,100,6,,,
,1,100,7,,,
,1,100,8,,,
,1,100,9,,,
,1,125,0,1,,
,1,125,1,,,
,1,125,2,,,
,1,125,3,,,
,1,125,4,,,
,1,125,5,,,
,1,125,6,,,
,1,125,7,,,
,1,125,8,,,
,1,125,9,,,
,1,150,0,4,,
,1,150,1,,,
,1,150,2,,,
,1,150,3,,,
,1,150,4,,,
,1,150,5,,,
,1,150,6,,,
,1,150,7,,,
,1,150,8,,,
,1,150,9,,,
,1,175,0,2,,
,1,175,1,,,
,1,175,2,,,
,1,175,3,,,
,1,175,4,,,
,1,175,5,,,
,1,175,6,,,
,1,175,7,,,
,1,175,8,,,
,1,175,9,,,
,2,25,0,1,,
,2,25,1,,,
,2,25,2,,,
,2,25,3,,,
,2,25,4,,,
,2,25,5,,,
,2,25,6,,,
,2,25,7,,,
,2,25,8,,,
,2,25,9,,,
,2,50,0,2,,
,2,50,1,,,
,2,50,2,,,
,2,50,3,,,
,2,50,4,,,
,2,50,5,,,
,2,50,6,,,
,2,50,7,,,
,2,50,8,,,
,2,50,9,,,
,2,75,0,7,,
,2,75,1,,,
,2,75,2,,,
,2,75,3,,,
,2,75,4,,,
,2,75,5,,,
,2,75,6,,,
,2,75,7,,,
,2,75,8,,,
